Station_EN,Station_TC,Station_SC,Brand_EN,Brand_TC,Brand_SC,All_Oil_Types_EN,All_Oil_Types_TC,All_Oil_Types_SC,Latitude,Longitude
Fairview Park Station,錦繡花園站,锦绣花园站,Esso,埃克森美孚香港有限公司,埃克森美孚香港有限公司,Standard Petrol / Premium Petrol / Diesel,無鉛汽油 / 特級無鉛汽油 / 柴油,无铅汽油 / 特级无铅汽油 / 柴油,22.4738549153549 ,114.049522206187 
Ping Shan Station,屏山站,屏山站,Esso,埃克森美孚香港有限公司,埃克森美孚香港有限公司,Standard Petrol / Premium Petrol / Diesel / Auto LPG,無鉛汽油 / 特級無鉛汽油 / 柴油 / 車用石油氣,无铅汽油 / 特级无铅汽油 / 柴油 / 车用石油气,22.4412500495381 ,114.010882303118 
Lam Tei Station,藍地站,蓝地站,Esso,埃克森美孚香港有限公司,埃克森美孚香港有限公司,Standard Petrol / Premium Petrol / Diesel,無鉛汽油 / 特級無鉛汽油 / 柴油,无铅汽油 / 特级无铅汽油 / 柴油,22.4195519844768 ,113.982637971639 
Hoi Wah Road Station,海華路站,海华路站,Esso,埃克森美孚香港有限公司,埃克森美孚香港有限公司,Standard Petrol / Premium Petrol / Diesel / Auto LPG,無鉛汽油 / 特級無鉛汽油 / 柴油 / 車用石油氣,无铅汽油 / 特级无铅汽油 / 柴油 / 车用石油气,22.3802367988983 ,113.971154093742 
Tsuen Wan Station,荃灣站,荃湾站,Esso,埃克森美孚香港有限公司,埃克森美孚香港有限公司,Standard Petrol / Premium Petrol / Diesel / Auto LPG,無鉛汽油 / 特級無鉛汽油 / 柴油 / 車用石油氣,无铅汽油 / 特级无铅汽油 / 柴油 / 车用石油气,22.3704149469699 ,114.125849157571 
Tai Wo Hau Station,大窩口站,大窝口站,Esso,埃克森美孚香港有限公司,埃克森美孚香港有限公司,Standard Petrol / Premium Petrol / Diesel / Auto LPG,無鉛汽油 / 特級無鉛汽油 / 柴油 / 車用石油氣,无铅汽油 / 特级无铅汽油 / 柴油 / 车用石油气,22.3709550428203 ,114.127251952886 
Kwai Chung Station,葵涌站 ,葵涌站 ,Esso,埃克森美孚香港有限公司,埃克森美孚香港有限公司,Standard Petrol / Premium Petrol / Diesel / Auto LPG,無鉛汽油 / 特級無鉛汽油 / 柴油 / 車用石油氣,无铅汽油 / 特级无铅汽油 / 柴油 / 车用石油气,22.3504708594878 ,114.13315
Kwai Hing Station,葵興站,葵兴站,Esso,埃克森美孚香港有限公司,埃克森美孚香港有限公司,Standard Petrol / Premium Petrol / Diesel,無鉛汽油 / 特級無鉛汽油 / 柴油,无铅汽油 / 特级无铅汽油 / 柴油,22.3693744349355 ,114.132560044527 
Tsing Yi South Station,青衣南站,青衣南站,Esso,埃克森美孚香港有限公司,埃克森美孚香港有限公司,Standard Petrol / Premium Petrol / Diesel,無鉛汽油 / 特級無鉛汽油 / 柴油,无铅汽油 / 特级无铅汽油 / 柴油,22.343663009355,114.108528792858
Fanling Station,粉嶺站,粉岭站,Esso,埃克森美孚香港有限公司,埃克森美孚香港有限公司,Standard Petrol / Premium Petrol / Diesel / Auto LPG,無鉛汽油 / 特級無鉛汽油 / 柴油 / 車用石油氣,无铅汽油 / 特级无铅汽油 / 柴油 / 车用石油气,22.4914790704142 ,114.14550974965
Kowloon Bay 2 Station,九龍灣2站,九龙湾2站,Esso,埃克森美孚香港有限公司,埃克森美孚香港有限公司,Standard Petrol / Premium Petrol / Diesel / Auto LPG,無鉛汽油 / 特級無鉛汽油 / 柴油 / 車用石油氣,无铅汽油 / 特级无铅汽油 / 柴油 / 车用石油气,22.321026083661,114.205068871378
Kowloon Bay 1 Station,九龍灣1站,九龙湾1站,Esso,埃克森美孚香港有限公司,埃克森美孚香港有限公司,Standard Petrol / Premium Petrol / Diesel / Auto LPG,無鉛汽油 / 特級無鉛汽油 / 柴油 / 車用石油氣,无铅汽油 / 特级无铅汽油 / 柴油 / 车用石油气,22.3213579480706 ,114.205650910735 
Kai Tak Station,啟德站,启德站,Esso,埃克森美孚香港有限公司,埃克森美孚香港有限公司,Standard Petrol / Premium Petrol / Diesel,無鉛汽油 / 特級無鉛汽油 / 柴油,无铅汽油 / 特级无铅汽油 / 柴油,22.3315566559577 ,114.194914028048 
Wuhu Street Station,蕪湖街站,芜湖街站,Esso,埃克森美孚香港有限公司,埃克森美孚香港有限公司,Standard Petrol / Premium Petrol / Diesel,無鉛汽油 / 特級無鉛汽油 / 柴油,无铅汽油 / 特级无铅汽油 / 柴油,22.3082843748815 ,114.184153676033 
Homantin Station,何文田站,何文田站,Esso,埃克森美孚香港有限公司,埃克森美孚香港有限公司,Standard Petrol / Premium Petrol / Diesel,無鉛汽油 / 特級無鉛汽油 / 柴油,无铅汽油 / 特级无铅汽油 / 柴油,22.3186602087233 ,114.17584888637
Mongkok Road Station,旺角道站,旺角道站,Esso,埃克森美孚香港有限公司,埃克森美孚香港有限公司,Standard Petrol / Premium Petrol / Diesel,無鉛汽油 / 特級無鉛汽油 / 柴油,无铅汽油 / 特级无铅汽油 / 柴油,22.3202358089739 ,114.166435673832 
Boundary Street Station,界限街站,界限街站,Esso,埃克森美孚香港有限公司,埃克森美孚香港有限公司,Standard Petrol / Premium Petrol / Diesel,無鉛汽油 / 特級無鉛汽油 / 柴油,无铅汽油 / 特级无铅汽油 / 柴油,22.3270528664784 ,114.176502674818 
Castle Peak Road Station,青山道站,青山道站,Esso,埃克森美孚香港有限公司,埃克森美孚香港有限公司,Standard Petrol / Premium Petrol / Diesel,無鉛汽油 / 特級無鉛汽油 / 柴油,无铅汽油 / 特级无铅汽油 / 柴油,22.3395757828167 ,114.151247665286 
Broadway Street Station,百老匯街站,百老汇街站,Esso,埃克森美孚香港有限公司,埃克森美孚香港有限公司,Standard Petrol / Premium Petrol / Diesel,無鉛汽油 / 特級無鉛汽油 / 柴油,无铅汽油 / 特级无铅汽油 / 柴油,22.3352825153857 ,114.141706
Nassau Street Station,蘭秀街站,兰秀街站,Esso,埃克森美孚香港有限公司,埃克森美孚香港有限公司,Standard Petrol / Premium Petrol / Diesel,無鉛汽油 / 特級無鉛汽油 / 柴油,无铅汽油 / 特级无铅汽油 / 柴油,22.3382261654630 ,114.140630811452 
Stanley Station,赤柱站,赤柱站,Esso,埃克森美孚香港有限公司,埃克森美孚香港有限公司,Standard Petrol / Premium Petrol / Diesel / Auto LPG,無鉛汽油 / 特級無鉛汽油 / 柴油 / 車用石油氣,无铅汽油 / 特级无铅汽油 / 柴油 / 车用石油气,22.222137582585,114.211152121424 
Chai Wan Station,柴灣站,柴湾站,Esso,埃克森美孚香港有限公司,埃克森美孚香港有限公司,Standard Petrol / Premium Petrol / Diesel / Auto LPG,無鉛汽油 / 特級無鉛汽油 / 柴油 / 車用石油氣,无铅汽油 / 特级无铅汽油 / 柴油 / 车用石油气,22.266836,114.244178
North Point Station,北角站,北角站,Esso,埃克森美孚香港有限公司,埃克森美孚香港有限公司,Standard Petrol / Premium Petrol / Diesel / Auto LPG,無鉛汽油 / 特級無鉛汽油 / 柴油 / 車用石油氣,无铅汽油 / 特级无铅汽油 / 柴油 / 车用石油气,22.2926924999216 ,114.206222221255 
Wong Nai Chung Gap Station,黃泥涌峽站,黄泥涌峡站,Esso,埃克森美孚香港有限公司,埃克森美孚香港有限公司,Standard Petrol / Premium Petrol / Diesel,無鉛汽油 / 特級無鉛汽油 / 柴油,无铅汽油 / 特级无铅汽油 / 柴油,22.2590584555791 ,114.192284792661 
Sing Woo Road Station,成和道站,成和道站,Esso,埃克森美孚香港有限公司,埃克森美孚香港有限公司,Standard Petrol / Premium Petrol / Diesel,無鉛汽油 / 特級無鉛汽油 / 柴油,无铅汽油 / 特级无铅汽油 / 柴油,22.2674062907791 ,114.187025651335 
Arsenal Street Station,軍器廠街站,军器厂街站,Esso,埃克森美孚香港有限公司,埃克森美孚香港有限公司,Standard Petrol / Premium Petrol / Diesel,無鉛汽油 / 特級無鉛汽油 / 柴油,无铅汽油 / 特级无铅汽油 / 柴油,22.2784751543497 ,114.168826192617 
Wong Chuk Hang Station,黃竹坑站,黄竹坑站,Esso,埃克森美孚香港有限公司,埃克森美孚香港有限公司,Standard Petrol / Premium Petrol / Diesel / Auto LPG,無鉛汽油 / 特級無鉛汽油 / 柴油 / 車用石油氣,无铅汽油 / 特级无铅汽油 / 柴油 / 车用石油气,22.2497295393126 ,114.169329106807 
Tung Chung Station,東涌站,东涌站,PetroChina,中國石油國際事業（香港）有限公司,中国石油国际事业（香港）有限公司,Standard Petrol / Premium Petrol / Diesel,無鉛汽油 / 特級無鉛汽油 / 柴油,无铅汽油 / 特级无铅汽油 / 柴油,22.2801995,113.9394893
Kam Tin Station,錦田站,锦田站,PetroChina,中國石油國際事業（香港）有限公司,中国石油国际事业（香港）有限公司,Standard Petrol / Premium Petrol / Diesel / Auto LPG,無鉛汽油 / 特級無鉛汽油 / 柴油 / 車用石油氣,无铅汽油 / 特级无铅汽油 / 柴油 / 车用石油气,22.44000058,114.0735535
Tsuen Wan Station,荃灣站,荃湾站,PetroChina,中國石油國際事業（香港）有限公司,中国石油国际事业（香港）有限公司,Standard Petrol / Premium Petrol / Diesel,無鉛汽油 / 特級無鉛汽油 / 柴油,无铅汽油 / 特级无铅汽油 / 柴油,22.36632726,114.1193569
Tseung Kwan O Station,將軍澳站,将军澳站,PetroChina,中國石油國際事業（香港）有限公司,中国石油国际事业（香港）有限公司,Standard Petrol / Premium Petrol / Diesel,無鉛汽油 / 特級無鉛汽油 / 柴油,无铅汽油 / 特级无铅汽油 / 柴油,22.32135609,114.2553529
Lai Chi Kok Station,荔枝角站,荔枝角站,PetroChina,中國石油國際事業（香港）有限公司,中国石油国际事业（香港）有限公司,Standard Petrol / Premium Petrol / Diesel,無鉛汽油 / 特級無鉛汽油 / 柴油,无铅汽油 / 特级无铅汽油 / 柴油,22.336307,114.14989
Aberdeen Station,香港仔站,香港仔站,PetroChina,中國石油國際事業（香港）有限公司,中国石油国际事业（香港）有限公司,Standard Petrol / Premium Petrol / Diesel,無鉛汽油 / 特級無鉛汽油 / 柴油,无铅汽油 / 特级无铅汽油 / 柴油,22.2493491,114.1554695
Chai Wan Station,柴灣站,柴湾站,Caltex,加德士,加德士,Standard Petrol / Premium Petrol / Diesel,無鉛汽油 / 特級無鉛汽油 / 柴油,无铅汽油 / 特级无铅汽油 / 柴油,22.266550555080947,114.2471493780613
Shaukiwan Station,筲箕灣站,筲箕湾站,Caltex,加德士,加德士,Standard Petrol / Diesel,無鉛汽油 / 柴油,无铅汽油 / 柴油,22.283257863498054,114.2220526188612
Aberdeen Station,香港仔站,香港仔站,Caltex,加德士,加德士,Standard Petrol / Premium Petrol / Diesel,無鉛汽油 / 特級無鉛汽油 / 柴油,无铅汽油 / 特级无铅汽油 / 柴油,22.248244997713954,114.16433952748775
Waterfront Station,海旁站,海旁站,Caltex,加德士,加德士,Standard Petrol / Premium Petrol / Diesel,無鉛汽油 / 特級無鉛汽油 / 柴油,无铅汽油 / 特级无铅汽油 / 柴油,22.282576579425662,114.18494559824466
Sing Woo Road Station,成和道站,成和道站,Caltex,加德士,加德士,Standard Petrol / Premium Petrol / Diesel,無鉛汽油 / 特級無鉛汽油 / 柴油,无铅汽油 / 特级无铅汽油 / 柴油,22.267539087583,114.186936467885
Pok Fu Lam Road Station,薄扶林油站,薄扶林油站,Sinopec,中國石油化工股份有限公司,中国石油化工股份有限公司,Standard Petrol / Premium Petrol / Diesel,無鉛汽油 / 特級無鉛汽油 / 柴油,无铅汽油 / 特级无铅汽油 / 柴油,22.2820051172748,114.132661297917
Kowloon Tong Station,九龍塘站,九龙塘站,PetroChina,中國石油國際事業（香港）有限公司,中国石油国际事业（香港）有限公司,Standard Petrol / Premium Petrol / Diesel,無鉛汽油 / 特級無鉛汽油 / 柴油,无铅汽油 / 特级无铅汽油 / 柴油,22.34333554,114.1801109
Repulse Bay Station,淺水灣站,浅水湾站,PetroChina,中國石油國際事業（香港）有限公司,中国石油国际事业（香港）有限公司,Standard Petrol / Premium Petrol / Diesel / Auto LPG,無鉛汽油 / 特級無鉛汽油 / 柴油 / 車用石油氣,无铅汽油 / 特级无铅汽油 / 柴油 / 车用石油气,22.238528,114.199473
Wan Chai Station,灣仔站,湾仔站,Caltex,加德士,加德士,Standard Petrol / Premium Petrol / Diesel,無鉛汽油 / 特級無鉛汽油 / 柴油,无铅汽油 / 特级无铅汽油 / 柴油,22.27778392,114.1763914
