X,Y,OBJECTID,NAME_OF_DISTRICT_COUNCIL_DISTRI,LOCATION_EN,ADDRESS_EN,NAME_OF_DISTRICT_COUNCIL_DIST_1,LOCATION_TC,ADDRESS_TC,NAME_OF_DISTRICT_COUNCIL_DIST_2,LOCATION_SC,ADDRESS_SC,STANDARD_BS1363_no,MEDIUM_IEC62196_no,MEDIUM_SAEJ1772_no,MEDIUM_OTHERS_no,QUICK_CHAdeMO_no,QUICK_CCS_DC_COMBO_no,QUICK_IEC62196_no,QUICK_GB_T20234_3_DC__no,QUICK_OTHERS_no,REMARK_FOR__OTHERS_,DATA_PATH
12711851.8429668,2551735.18584675,336,Wong Tai Sin,Tung Tau II Car Park B,"183 Tung Tau Tsuen Rd, Chuk Un",黃大仙區,東頭二(B)停車場,竹園東頭村道183號東頭邨商舖及停車場,黄大仙区,东头二(B)停车场,竹园东头村道183号东头邨商铺及停车场,0,9,0,0,0,0,0,0,0,-,-
12713872.2917247,2552593.52880667,337,Wong Tai Sin,King Lai Court,"36-38 Fung Shing St, Hammer Hill",黃大仙區,瓊麗苑,斧山豐盛街36-38號,黄大仙区,琼丽苑,斧山丰盛街36-38号,0,12,0,0,0,0,0,0,0,-,-
12712994.8714983,2553414.48370283,338,Wong Tai Sin,Tsz Man Estate,"55 Tsz Wan Shan Rd, Tsz Wan Shan",黃大仙區,慈民邨,慈雲山慈雲山道55號,黄大仙区,慈民邨,慈云山慈云山道55号,0,17,0,0,0,0,0,0,0,-,-
12712921.1779954,2552634.32887107,339,Wong Tai Sin,Bel Air Heights,"LUNG POON STREET, WONG TAI SIN",黃大仙區,悅庭軒,黃大仙 龍蟠街,黄大仙区,悦庭轩,黄大仙 龙蟠街,0,1,0,0,0,0,0,0,0,-,-
12711573.7668788,2552063.8590984,340,Wong Tai Sin,Hong Keung Car Park,"Hong Keung Court Car Park, 23 Heng Lam Street, Wang Tau Hom,  Kowloon",黃大仙區,康強停車場,九龍橫頭磡杏林街23號康強苑停車場,黄大仙区,康强停车场,九龙横头磡杏林街23号康强苑停车场,0,14,0,0,0,0,0,0,0,-,-
12712684.1787995,2552183.00624612,341,Wong Tai Sin,The Burrow,"212 Choi Hung Rd, San Po Kong",黃大仙區,The Burrow,新蒲崗彩虹道212號,黄大仙区,The Burrow,新蒲岗彩虹道212号,0,0,0,0,0,0,0,0,3,Supercharger,-
12712911.2705607,2552169.16587746,342,Wong Tai Sin,Kai Cheung Court,"Choi Hung Rd, Diamond Hill",黃大仙區,啟翔苑,鑽石山彩虹道,黄大仙区,启翔苑,钻石山彩虹道,0,6,0,0,0,0,0,0,0,-,-
12712770.2287659,2552275.19542779,343,Wong Tai Sin,Kai Chuen Court Carpark,"235 Choi Hung Road, San Po Kong, Kowloon",黃大仙區,啟鑽苑停車場,九龍新蒲崗彩虹道235號,黄大仙区,启钻苑停车场,九龙新蒲岗彩虹道235号,0,52,0,0,0,0,0,0,0,-,-
12712032.7371394,2551494.3714861,344,Wong Tai Sin,TUNG WUI ESTATE (II),LOK SIN ROAD,黃大仙區,東匯邨,九龍城樂善道,黄大仙区,东汇邨,九龙城乐善道,1,0,0,0,0,0,0,0,0,-,-
12712021.2712318,2552549.84035215,345,Wong Tai Sin,Temple Mall South Car Park B,"Temple Mall South, 103 Ching Tak Street, Wong Tai Sin, Kowloon",黃大仙區,黃大仙中心 南館 B停車場,九龍黃大仙正德街103號黃大仙中心 南館,黄大仙区,黄大仙中心 南馆 B停车场,九龙黄大仙正德街103号黄大仙中心 南馆,0,0,0,0,0,2,0,0,0,-,-
12712928.4137623,2552927.03312703,346,Wong Tai Sin,Fung Lai Car Park,"Fung Lai Court Car Park, 8 Fung Lai Road, Diamond Hill,  Kowloon",黃大仙區,鳳禮停車場,九龍鑽石山鳳禮道8號鳳禮苑停車場,黄大仙区,凤礼停车场,九龙钻石山凤礼道8号凤礼苑停车场,0,14,0,0,0,0,0,0,0,-,-
12712780.3588395,2552750.59154562,347,Wong Tai Sin,Fung Tak Car Park,"Fung Tak Shopping Centre, 111 Fung Tak Road, Diamond Hill, Kowloon",黃大仙區,鳳德停車場,九龍鑽石山鳳德道111號鳳德商場,黄大仙区,凤德停车场,九龙钻石山凤德道111号凤德商场,0,20,0,0,0,0,0,0,0,-,-
12711146.3000342,2552896.82369324,348,Wong Tai Sin,Tin Wang Court Car Park,"Kam Chuk Ln, Ma Chai Hang",黃大仙區,天宏苑停車場,馬仔坑金竹里,黄大仙区,天宏苑停车场,马仔坑金竹里,0,12,0,0,0,0,0,0,0,-,-
12710820.4678846,2550195.88681528,349,Kowloon City,King George V School,2 Tin Kwong Road,九龍城區,英皇佐治五世學校,天光道2號,九龙城区,英皇佐治五世学校,天光道2号,0,1,0,0,0,0,0,0,0,-,-
12711169.3431688,2548740.47583974,350,Kowloon City,Customs Staff Quarters,Tsing Chau Street,九龍城區,香港海關宿舍,青州街,九龙城区,香港海关宿舍,青州街,0,5,0,0,0,0,0,0,0,-,-
12712638.7604472,2553511.85515714,351,Wong Tai Sin,Tsz Oi Car Park,"Tsz Oi Court Retail and Car Park, 2 Wan Wah Street, Tsz Wan Shan, Kowloon",黃大仙區,慈愛停車場,九龍慈雲山雲華街2號慈愛苑商舖及停車場,黄大仙区,慈爱停车场,九龙慈云山云华街2号慈爱苑商铺及停车场,0,9,0,0,0,0,0,0,0,-,-
12712185.5788002,2553178.33921065,352,Wong Tai Sin,Ying Fuk Car Park,"Ying Fuk Court Retail and Car Park, 17 Wing Chuk Street, Wong Tai Sin, Kowloon",黃大仙區,盈福停車場,九龍黃大仙穎竹街17號盈福苑商舖及停車場,黄大仙区,盈福停车场,九龙黄大仙颖竹街17号盈福苑商铺及停车场,0,9,0,0,0,0,0,0,0,-,-
12709089.5611223,2547617.14602217,353,Yau Tsim Mong,China Hong Kong City,"33 Canton Road, Tsim Sha Tsui",油尖旺區,中港城,尖沙咀廣東道33號,油尖旺区,中港城,尖沙咀广东道33号,0,42,0,0,0,4,0,0,0,-,-
12709087.446052,2546996.79596762,354,Yau Tsim Mong,Ocean Terminal Car Park (P5),"4/F - 5/F, Ocean Terminal, Harbour City, Tsim Sha Tsui, Kowloon",油尖旺區,海運大廈停車場 (P5),九龍尖沙咀海港城海運大廈4樓-5樓,油尖旺区,海运大厦停车场 (P5),九龙尖沙咀海港城海运大厦4楼-5楼,24,0,0,0,2,2,5,0,0,-,-
12709204.1088783,2549672.4297354,355,Yau Tsim Mong,Langham Place,"31 Shantung St, Mong Kok",油尖旺區,朗豪坊,旺角山東街31號,油尖旺区,朗豪坊,旺角山东街31号,0,0,0,0,13,0,16,0,0,-,-
12708035.254225,2549951.36414417,356,Yau Tsim Mong,Olympian City 1,"11 Hoi Fai Road, West Kowloon",油尖旺區,奧海城1期,西九龍海輝道11號,油尖旺区,奥海城1期,西九龙海辉道11号,2,3,0,33,0,4,0,0,7,-,-
12708459.3814849,2549423.10143241,357,Yau Tsim Mong,Olympian City 2,"18 Hoi Ting Road, West Kowloon",油尖旺區,奧海城2期,西九龍海庭道18號,油尖旺区,奥海城2期,西九龙海庭道18号,0,0,0,0,0,4,2,0,0,-,-
12708813.1548266,2549686.99004508,358,Yau Tsim Mong,Olympian City 3,"1 Hoi Wang Road, South West Kowloon",油尖旺區,奧海城3期,西南九龍海泓道1號,油尖旺区,奥海城3期,西南九龙海泓道1号,2,0,0,0,0,0,0,0,0,-,-
12707778.2175207,2549974.82950197,359,Yau Tsim Mong,The Long Beach,"HOI FAI ROAD, YAU TSIM MONG",油尖旺區,浪澄灣,油尖旺 海輝道,油尖旺区,浪澄湾,油尖旺 海辉道,0,0,0,0,0,0,2,0,0,-,-
12709278.5816176,2547908.31899298,360,Yau Tsim Mong,HONG KONG SCOUT HEADQUARTERS,"AUSTIN ROAD, YAU TSIM MONG",油尖旺區,香港童軍中心,油尖旺 柯士甸道,油尖旺区,香港童军中心,油尖旺 柯士甸道,3,3,0,0,0,0,0,0,0,-,-
12710284.353217,2547373.74372755,361,Yau Tsim Mong,Empire Centre,"68 Mody Road, Tsim Sha Tsui East",油尖旺區,帝國中心,尖東麼地道68號,油尖旺区,帝国中心,尖东么地道68号,0,2,0,0,0,2,0,0,0,-,-
12709749.0177857,2547273.15932997,362,Yau Tsim Mong,K11 Art Mall,"18 Hanoi Road, Tsim Sha Tsui, Kowloon",油尖旺區,K11購物藝術館,尖沙咀河內道18號,油尖旺区,K11购物艺术馆,尖沙咀河内道18号,0,5,0,0,0,3,0,0,0,-,-
12708408.8424361,2548175.55284072,363,Yau Tsim Mong,ELEMENTS Carpark,"1 AUSTIN ROAD WEST, Yau Tsim Mong District, Kowloon",油尖旺區,圓方停車場,九龍 油尖旺區 柯士甸道西1號,油尖旺区,圆方停车场,九龙 油尖旺区 柯士甸道西1号,0,0,0,9,0,0,5,0,12,-,-
